Timestamp: 55521 ms, Roll: -3.12252 rad, Pitch: -0.0250906 rad
Timestamp: 55531 ms, Roll: -3.12133 rad, Pitch: -0.026331 rad
Timestamp: 55541 ms, Roll: -3.11534 rad, Pitch: -0.0302833 rad
Timestamp: 55551 ms, Roll: -3.11728 rad, Pitch: -0.0243041 rad
Timestamp: 55561 ms, Roll: -3.12358 rad, Pitch: -0.0230152 rad
Timestamp: 55571 ms, Roll: -3.12145 rad, Pitch: -0.026172 rad
Timestamp: 55581 ms, Roll: -3.12139 rad, Pitch: -0.0232234 rad
Timestamp: 55591 ms, Roll: -3.11928 rad, Pitch: -0.0223031 rad
Timestamp: 55601 ms, Roll: -3.12021 rad, Pitch: -0.0254469 rad
Timestamp: 55611 ms, Roll: -3.12453 rad, Pitch: -0.0270979 rad
Timestamp: 55621 ms, Roll: -3.12248 rad, Pitch: -0.0241358 rad
Timestamp: 55631 ms, Roll: -3.1185 rad, Pitch: -0.0240853 rad
Timestamp: 55641 ms, Roll: -3.11839 rad, Pitch: -0.0242067 rad
Timestamp: 55651 ms, Roll: -3.11922 rad, Pitch: -0.0284694 rad
Timestamp: 55661 ms, Roll: -3.12751 rad, Pitch: -0.0291639 rad
Timestamp: 55671 ms, Roll: -3.11841 rad, Pitch: -0.0201531 rad
Timestamp: 55681 ms, Roll: -3.11829 rad, Pitch: -0.0263292 rad
Timestamp: 55691 ms, Roll: -3.11723 rad, Pitch: -0.0243534 rad
Timestamp: 55701 ms, Roll: -3.12049 rad, Pitch: -0.0241106 rad
Timestamp: 55711 ms, Roll: -3.12655 rad, Pitch: -0.0250671 rad
Timestamp: 55721 ms, Roll: -3.1203 rad, Pitch: -0.0263571 rad
Timestamp: 55731 ms, Roll: -3.11657 rad, Pitch: -0.0310114 rad
Timestamp: 55741 ms, Roll: -3.11721 rad, Pitch: -0.0294543 rad
Timestamp: 55751 ms, Roll: -3.1224 rad, Pitch: -0.0232239 rad
